names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
A1BG,0.005142901,0.000568169,0.000104186,0.244577585,0.659532054,0.92814112,0.015527881
A1BG.AS1,0.830351895,0.199065461,0.176501141,0.293053756,0.397098069,0.98847726,0.827635718
A2M,6.18E-05,0.005904869,0.014758398,0.033673372,0.149739721,0,0.805857326
AAAS,3.23E-86,2.78E-78,1.81E-78,4.53E-53,0.471341707,0.996528687,0.001260669
AACS,0.004692907,0.002618869,4.10E-06,9.79E-11,1.55E-08,0.556898164,0.111469113
AAGAB,1.56E-46,2.46E-37,3.28E-37,8.02E-26,0.216011089,0.996445497,0.051595184
AAK1,9.78E-117,2.03E-87,7.54E-86,1.02E-18,0.006529323,0.972422856,4.69E-25
AAMDC,0.051292864,0.026659937,0.003822293,0.606857681,0.866039274,0.861994488,0.001015154
AAMP,6.54E-91,4.49E-85,1.03E-70,2.76E-31,0.629402779,0.479407194,6.00E-09
AANAT,0.979858904,0.698056307,0.369248977,0.159639018,0.789954321,0,0.68417842
AAR2,0.000353676,0.143833293,0.682651889,4.05E-05,0.080516642,0.398902108,0.000619229
AARS1,1.46E-88,1.97E-73,1.17E-85,7.21E-94,0.139111912,0.598268897,0.452832248
AARS2,5.34E-09,0.002713763,9.41E-05,0.766324127,0.015517074,0.800914723,0.000824777
AASDH,0.110768978,0.001568372,0.020133612,0.371458036,0.214908122,0.81674175,0.001888034
AASDHPPT,8.42E-15,5.96E-14,4.22E-13,0.051092013,0.871540133,0.95717929,7.10E-07
AASS,3.64E-11,1.66E-07,0.000564158,0.042569325,0.278916588,0.474562855,0.243341544
AATBC,0.559707832,0.152793728,0.081149504,0.165682833,0.07252888,0.946169969,0.793826789
AATF,6.09E-18,1.04E-06,9.68E-05,0.729231227,0.00103113,0.78718663,0.001063631
AATK,0.934445215,0.527260286,0.348914223,0.435835822,0.567686752,0,0.911234927
ABAT,0.000666456,3.70E-11,4.87E-05,1.31E-06,0.004618449,0.214129573,0.544711029
ABCA1,1.65E-15,0.016181807,1.06E-09,0.193538241,1.07E-07,0.025323336,8.30E-06
ABCA10,0.005284224,1.45E-05,3.55E-05,4.17E-05,0.151206354,0,0.956622635
ABCA11P,0.033901656,0.409710343,0.71712994,0.140181098,0.297926202,0.912387013,0.340622387
ABCA12,0.248288155,0.005298534,0.007657662,0.012058254,0,0,0
ABCA13,0.096415991,0.048333363,0.000941364,0.111297052,0.823041534,0,0.108835544
ABCA17P,0.211551501,0.070228665,0.807142499,0.838629713,0.006817159,0,0.978645029
ABCA2,5.47E-06,1.75E-07,1.67E-09,0.081074702,0.647440406,0.82915497,9.21E-05
ABCA3,5.45E-08,1.91E-05,0.027405482,0.897762137,0.382043816,0.376171446,0.062652085
ABCA5,8.47E-19,7.09E-34,7.69E-33,7.50E-12,0.003727841,0.968786871,1.79E-06
ABCA7,4.43E-153,1.36E-132,4.86E-104,3.48E-57,0.102158181,0.105372504,4.15E-08
ABCB1,0.023816723,0.355320774,0.20377962,0.016817816,0.291311537,0.940197934,0.363059857
ABCB10,9.13E-08,6.95E-80,3.70E-68,5.80E-56,1.85E-42,0.585937929,0.147776596
ABCB4,0.05085656,0.067472757,0.07935227,0.749940712,0,0,0
ABCB6,3.17E-14,2.81E-08,1.64E-11,7.16E-12,0.092436287,0.717082645,0.928458384
ABCB7,0.102301247,0.037306064,0.006228019,1.26E-18,0.772528588,0.872783453,1.09E-08
ABCB8,2.02E-05,6.55E-07,1.23E-09,0.003456955,0.624660973,0.750739345,0.004759427
