names,B_A,C_A,D_A,E_A,C_B,D_C,E_D
A1BG,-0.803724324,-0.986366214,-1.109007133,-0.33910584,-0.111250492,-0.017523025,0.640814216
A1BG.AS1,-0.108044738,-0.615616399,-0.648064314,-0.490665025,-0.240026731,-0.001950337,0.088050132
A2M,-3.685490225,-2.030410099,-1.760059418,-1.436267623,0.462089423,0,0.100688518
AAAS,1.85599755,1.770107256,1.772011503,1.456573889,-0.080416172,0.001110138,-0.306721414
AACS,-0.520173117,0.54174123,0.815727733,1.131727807,1.013703884,0.08648347,0.292093693
AAGAB,1.788855851,1.599227091,1.596205975,1.321490209,-0.168009222,-0.001414127,-0.259289603
AAK1,-2.709182994,-2.332219392,-2.310258391,-1.040109524,0.339964814,0.010101784,1.238480085
AAMDC,-0.619460223,-0.706104778,-0.923573333,0.164829914,-0.047929826,-0.026258994,0.921976164
AAMP,2.245472534,2.171997927,1.978314064,1.305213274,-0.067058233,-0.101561945,-0.651368549
AANAT,0.022312096,0.332927713,-0.777696036,-1.147090544,0.08135712,0,-0.143332738
AAR2,0.631861336,0.266802467,-0.078638405,-0.725789697,-0.298961912,-0.112043663,-0.604571617
AARS1,3.856223239,3.501372317,3.789756448,3.98104387,-0.274432351,0.077567927,0.160658762
AARS2,0.961505358,0.504865427,0.651060633,0.054655556,-0.389091759,0.04817155,-0.557760033
AASDH,-0.234170891,-0.456263128,-0.337301689,0.132662353,-0.187910829,0.046626907,0.447902786
AASDHPPT,0.924389398,0.89492627,0.864528574,0.243445832,-0.026409512,-0.014406796,-0.59914767
AASS,-2.032919153,-1.598886298,-1.048215088,-0.615264855,0.26924471,0.075945844,0.336046462
AATBC,0.349240493,-0.860453547,-1.052834562,-0.799949355,-0.628572583,-0.007174613,0.109749166
AATF,1.175006508,0.674026234,0.541507029,0.052742441,-0.450550997,-0.054145359,-0.464892703
AATK,0.063227596,-0.46082263,-0.681263695,-0.533972037,-0.170129465,0,0.0476088
ABAT,0.650872097,1.228451382,0.769166721,0.906543669,0.49203819,-0.156190628,0.124945143
ABCA1,-6.666232049,-1.663969216,-4.68148724,-0.860378496,4.645830937,-0.221256926,2.692916446
ABCA10,-1.564264929,-2.753117667,-2.55857961,-2.471607511,-0.469416998,0,0.024644435
ABCA11P,-0.516130621,-0.205527034,-0.092426772,-0.357577568,0.222776585,0.023131033,-0.230001133
ABCA12,1.020400348,2.777723482,2.637693766,2.390926071,0,0,0
ABCA13,-1.429036972,-1.829191824,-3.660027871,-1.332672318,-0.06388292,0,0.483901099
ABCA17P,0.876167746,-1.454967688,-0.190075822,-0.148919888,-1.54753114,0,0.012859539
ABCA2,-1.531206133,-1.762627535,-2.034025458,-0.596959708,-0.122492696,-0.029116192,1.202784738
ABCA3,-1.37170629,-1.079540488,-0.562649355,-0.035943799,0.198633344,0.102077087,0.451924274
ABCA5,-1.291445116,-1.795139247,-1.762583395,-0.995033478,-0.439230897,0.011387908,0.725514159
ABCA7,-4.830670728,-4.440005496,-3.861798159,-2.793083812,0.30254341,0.202843411,0.989644928
ABCB1,-0.604046846,-0.254397288,-0.346156875,-0.631909535,0.238808299,-0.015501691,-0.241635226
ABCB10,0.511259164,1.738449954,1.605588223,1.453763445,1.215988923,-0.08219881,-0.144136679
ABCB4,-1.623298505,-1.567575419,-1.494227959,-0.246446307,0,0,0
ABCB6,2.397190879,1.770673505,2.139440944,2.167026695,-0.422167651,0.047287002,0.031374533
ABCB7,0.287726147,0.362909094,0.471059307,1.461761885,0.058272721,0.034474515,0.941835808
ABCB8,0.621629983,0.720784721,0.87485975,0.430832674,0.082972536,0.060529424,-0.418819695
ABCB9,-1.096750971,-0.151167704,-0.219531378,0.842144859,0.657652106,-0.006502405,0.852810257
ABCC1,-0.080586105,-0.050173371,-0.052980371,0.308875086,0.027186432,-0.001251663,0.347545939
ABCC10,-0.667806235,-0.823633455,-0.589357932,-0.912727072,-0.127449658,0.084204036,-0.303135429
ABCC11,-0.538281413,-0.713013974,-0.166386599,0.340162391,-0.039405093,0,0.213097894
ABCC2,-1.081116698,-2.19666417,-2.183566683,-2.471835658,-0.81582376,0.001159409,-0.203248538
ABCC3,-1.407245657,-1.841672792,-1.657453855,-1.807386845,-0.017719653,0.0007571,-0.021839209
ABCC4,1.811843624,1.966415322,1.605132727,0.661953913,0.120392759,-0.121659972,-0.883259929
ABCC5,-0.138785169,-0.148107277,0.056445699,0.363531448,-0.006735988,0.084909578,0.291860956
ABCC6,-2.04507177,-1.92907082,-2.282122056,-1.467390152,0.045801356,0,0.302431388
ABCD1,-0.603863464,-0.665565427,-0.497512876,-0.259837915,-0.037721883,0.027614188,0.191246724
ABCD2,-3.016909055,-2.526696343,-2.04255863,-0.199227268,0.325728224,0.075862579,1.722551715
ABCD3,1.273005389,1.404786378,1.488641249,0.944847775,0.116920539,0.041561091,-0.524393858
ABCD4,-0.276588296,-0.457773819,-0.557712828,-0.622952953,-0.156368426,-0.043131757,-0.060474948
ABCE1,1.921531034,1.756896072,1.620842415,0.829737301,-0.145434707,-0.062155694,-0.762090543
ABCF1,2.110647444,1.692670056,1.643096443,0.896196877,-0.358185274,-0.017148912,-0.702558325
ABCF2,3.084199976,2.858949926,2.725354926,1.273948409,-0.185534359,-0.044599767,-1.394581073
ABCF3,0.1708326,-0.339564419,-0.465068241,-0.946717808,-0.450543133,-0.045268089,-0.455738377
ABCG1,-2.146989094,-0.666042984,-1.827578834,-0.343272452,1.345890249,-0.48940031,1.294666935
ABCG2,-0.201135264,0.738464419,1.441079858,0.649268228,0.450884783,0.036877963,-0.456126582
ABCG4,1.103284631,1.451926786,1.948001644,2.28307479,0,0,0
ABHD1,-2.018862929,-2.163493039,-1.888297987,-1.783332687,-0.044037248,0.012668235,0.039592485
ABHD10,0.132113112,0.498809403,0.585175484,0.75322304,0.332063368,0.042113329,0.159480066
ABHD11,0.734562834,0.949151152,1.052996068,-0.454722477,0.181623203,0.040479263,-1.472269385
ABHD12,-0.232377973,-0.112615242,-0.112692928,-0.300772817,0.107086128,-3.30E-05,-0.178291216
ABHD13,-1.926041821,-2.406242474,-2.474840323,-3.10435884,-0.398283674,-0.020417768,-0.578997274
ABHD14A,-0.170524518,-0.576813551,-0.305269065,-0.869651785,-0.303590186,0.060591228,-0.505064663
ABHD14B,-1.775846061,-0.754716046,-0.594311975,-0.466155986,0.997664687,0.074880836,0.116988755
ABHD15,0.227221834,0.488964677,0.54117499,0.26063001,0.175201073,0.009286831,-0.230788591
ABHD16A,0.011734983,-0.242363444,-0.346247972,-0.03904423,-0.204845632,-0.031990489,0.280363205
ABHD16B,0.960618478,0.549493948,0.849484433,0.603129189,-0.276358854,0.046999568,-0.192372405
