"Stimulated, 24h vs. Non-stimulated","Stimulated, 48h vs. Non-stimulated","Stimulated, 48h + LV vs. Non-stimulated","Stimulated, 72h + LV vs. Non-stimulated","Stimulated, 48h vs. Stimulated, 24h","Stimulated, 48h + LV vs. Stimulated, 48h","Stimulated, 72h + LV vs. Stimulated, 48h + LV",names
0.000261155,0.000314124,0.00172676,2.78836E-05,0.978111665,0.966186329,0.270601391,DDX11L1
0.359548556,0.04832876,0.145939168,0.618294103,0.443702859,0.967258466,0.450900811,MIR6859.1
0.000614107,0.000220682,0.000239153,0.003602508,0.859424773,1,0.535281214,DDX11L1.1
0.130361996,0.004739854,0.030234103,0.121462523,0.237299259,1,0.623207769,MIR6859.2
0.001191969,0.000336387,0.000503951,0.025591071,0.837768592,0.995128153,0.320382405,FAM87B
9.76996E-08,1.24919E-09,8.31797E-08,0.000170634,0.560416328,0.924085168,0.169874441,LINC00115
0.091844156,0.140135391,0.009339957,4.44014E-10,0.898127335,0.888209089,0.001098056,LINC01128
1.79192E-36,2.39612E-27,1.72914E-26,2.74718E-05,0.173213104,0.993892298,2.94776E-09,NOC2L
0.050375689,0.25127214,0.389258504,0.410486473,0.566723565,0.986372029,0.985571424,KLHL17
0.737823713,0.985678896,0.876752762,0.113614531,0.823646131,0.993892298,0.113890121,PLEKHN1
0.715821206,0.32511852,0.63537991,0.342481318,0.650769613,0.963974334,0.70683524,PERM1
0.01206058,0.000237731,0.035387333,0.777803043,0.374214388,0.74183406,0.029260419,HES4
0.051042895,0.588110084,0.122924941,0.00013915,0.275932563,0.90328748,0.052289402,ISG15
2.4318E-05,0.00229628,0.001306372,3.75215E-11,0.401441421,0.993892298,0.002616716,AGRN
1.24651E-05,0.000705681,0.359810918,0.990188559,0.490037597,0.400436401,0.434953263,C1orf159
0.439962714,0.97064233,0.47124351,0.216381964,0.563344803,1,0.070493988,TTLL10
1.05255E-81,1.93701E-70,2.26527E-65,4.35136E-86,0.12969042,0.915248632,0.001522191,TNFRSF18
3.32658E-90,5.9659E-68,1.24903E-69,2.12508E-58,0.012705475,0.992266119,0.185501919,TNFRSF4
2.18638E-10,0.011160757,0.019915283,0.076601904,0.001046942,0.993892298,0.702371382,SDF4
7.4558E-117,2.52575E-92,2.27937E-77,4.85797E-43,0.010432176,0.60722936,3.2672E-07,B3GALT6
0.23261548,0.040868469,5.85778E-05,0.705422919,0.55379038,0.581638422,3.36918E-05,C1QTNF12
1.6766E-35,8.39925E-34,3.92122E-25,1.00778E-10,0.8479494,0.699507853,0.000502373,UBE2J2
3.85165E-10,1.32816E-13,1.94157E-11,7.91313E-06,0.413991027,0.94242972,0.058931475,SCNN1D
4.17303E-08,0.001355264,0.002291241,0.308950561,0.068843375,0.993892298,0.087407089,ACAP3
1.55561E-17,1.70186E-32,1.63762E-26,3.06601E-11,0.003241907,0.856178337,0.000203378,PUSL1
1.39642E-11,1.17682E-05,0.000234386,0.056845616,0.055862389,0.94242972,0.145699642,INTS11
0.000991798,1.04371E-07,0.000335731,0.655873914,0.111592159,0.714418057,0.004414458,CPTP
7.79359E-13,1.87848E-17,1.12372E-13,8.74016E-18,0.137368956,0.768541148,0.203332164,TAS1R3
0.186318357,0.001235505,0.00021662,0.027849919,0.138296919,0.976970353,0.234610117,DVL1
0.018974016,4.26179E-07,3.939E-11,3.1778E-13,0.026575261,0.7700169,0.611468516,MXRA8
5.15978E-32,1.5652E-27,1.50823E-25,3.35924E-06,0.531708039,0.980215621,9.64873E-08,AURKAIP1
1.36955E-09,1.22389E-18,5.48754E-30,7.4362E-41,0.025515841,0.397490358,0.093431201,CCNL2
2.98049E-20,5.44211E-06,2.41374E-08,0.065962946,2.41741E-05,0.902667483,3.44326E-13,MRPL20.AS1
5.37599E-52,8.61836E-38,4.10805E-37,5.60082E-07,0.059055157,0.994802123,4.7765E-13,MRPL20
0.657903697,0.035174133,0.012636605,4.68523E-06,0.220779533,0.978385316,0.021000336,VWA1
1.23781E-05,0.014884161,0.031673627,0.130190356,0.098939038,0.986372029,0.625377002,ATAD3C
4.29316E-07,0.013105221,0.02158539,1.67449E-08,0.035617538,0.993892298,1.70923E-14,ATAD3B
3.01003E-45,1.83579E-51,1.38288E-44,1.43614E-12,0.509867627,0.90116276,1.21312E-10,ATAD3A
0.047073761,0.205297206,0.010137384,0.160322497,0.618367594,0.840447157,0.364814266,SSU72
1.49632E-05,0.00010349,0.001709547,0.458092997,0.774080923,0.933719915,0.000186986,FNDC10
1.28654E-31,1.61588E-52,1.32774E-37,1.79863E-14,0.002108597,0.430024402,2.56936E-06,MIB2
0.000210021,0.000823013,0.000827831,0.02648317,0.818967936,1,0.370143049,MMP23B
0.319415166,0.063719708,0.092102399,0.000447708,0.560003956,0.993892298,0.128478465,CDK11B
1.851E-11,1.5731E-10,3.83052E-10,2.15592E-08,0.850380663,0.993892298,0.652289895,SLC35E2B
2.80083E-05,4.5098E-12,1.40746E-11,7.26842E-18,0.026886016,0.993892298,0.126742555,CDK11A
2.56429E-10,1.51481E-11,1.31005E-10,2.07906E-08,0.805871912,0.986372029,0.561040508,SLC35E2A
2.55833E-25,2.6031E-25,9.90651E-20,0.001418348,0.995203654,0.843277813,5.45528E-08,NADK
1.18788E-20,2.38272E-25,1.74923E-23,5.75277E-21,0.459508024,0.981538275,0.694137878,GNB1
0.045574648,0.841976621,0.903543107,0.413265498,0.133330537,0.982645765,0.416419748,NA.
0.769586582,0.990487905,0.675383219,0.48854441,0.828951115,0.974631763,0.319889931,CALML6
0.004252156,5.29262E-06,3.65533E-05,0.000481726,0.117855658,0.972417233,0.588631508,TMEM52
0.632276899,2.32602E-08,8.51012E-05,0.002181131,3.57376E-06,0.741931528,0.527063775,PRKCZ
0.001632387,1.20665E-08,3.13404E-08,4.03073E-10,0.031521035,0.993892298,0.579223762,PRKCZ.AS1
0.016391108,0.830399888,0.120754593,0.027622686,0.065404834,0.818312079,0.633173198,FAAP20
4.16934E-13,6.76722E-11,1.62341E-21,5.33671E-25,0.633299129,0.242295869,0.554208141,SKI
0.632713389,0.190518103,0.347719805,2.62417E-07,0.12166698,0.982526612,9.88422E-05,MORN1
0.135511473,0.01682355,0.657375527,0.00304011,0.00033573,0.216898406,0.001250809,NA..1
3.8766E-07,8.88749E-08,1.80594E-07,0.886989676,0.882263046,0.993934661,4.03254E-07,RER1
1.70568E-23,4.99237E-15,6.37518E-15,0.084423198,0.074063073,1,7.92672E-09,PEX10
6.82624E-42,1.51806E-57,2.68073E-44,2.57588E-11,0.005910165,0.311124764,1.94238E-12,PLCH2
0.322988791,0.194759763,0.826161895,0.002289831,0.042985605,0.74693929,0.010601578,PANK4
0.002099032,1.17757E-21,3.93665E-20,1.26639E-15,3.1382E-09,0.985133568,0.370332544,TNFRSF14
1.87586E-17,2.60806E-13,3.14452E-11,0.021217197,0.393710196,0.945194599,8.89267E-05,PRXL2B
0.074717241,0.000301474,0.039304075,0.271046161,0.092082959,0.659130759,0.451653529,MMEL1
0.0001695,4.62183E-11,1.63252E-13,6.30478E-13,0.011543791,0.902655602,0.827384433,TTC34
0.317541536,0.685590851,0.429030121,0.932747306,0.670703709,1,0.562618086,ARHGEF16
8.47579E-98,2.74338E-88,1.60746E-84,6.69368E-49,0.363345657,0.967886944,2.7618E-06,MEGF6
1.03572E-13,5.47374E-40,9.56958E-39,3.37647E-63,1.38295E-07,0.993011469,0.000640395,TPRG1L
2.0047E-09,1.06505E-06,1.36598E-09,1.94782E-09,0.426548891,0.878160555,0.979949313,WRAP73
0.256166834,1.96516E-05,2.14499E-05,6.35452E-08,0.002564826,1,0.262191986,TP73
1.15091E-16,2.30703E-25,5.11793E-29,1.47803E-31,0.094093506,0.934867216,0.726933912,TP73.AS1
0.535454591,0.569016065,0.998448185,0.215720837,1,1,1,CCDC27
0.344754487,0.018229763,0.08131599,0.536879546,0.273499582,0.95113108,0.358384377,SMIM1
1.67895E-10,4.22393E-06,9.8849E-05,0.045947103,0.169590329,0.94242972,1.19455E-08,LRRC47
0.917507775,0.04770164,0.095895318,4.34803E-05,0.123655283,0.986372029,0.035972293,CEP104
0.186395059,0.075011728,0.044333379,0.00765428,0.780895117,0.99234196,5.98544E-06,DFFB
1.61948E-11,6.20666E-06,6.5163E-07,0.519996801,0.075929142,0.978385316,6.49758E-05,C1orf174
0.222417539,0.041280598,0.063039067,0.034224955,0.458160715,1,0.807496453,LINC01134
4.90201E-05,0.000251614,3.60158E-05,0.014815858,0.710450914,0.937140387,0.093831594,AJAP1
0.009289609,0.846451544,0.490602763,0.319200411,0.013567458,0.967258466,0.82818261,NPHP4
8.16008E-08,5.43186E-11,2.99447E-10,5.21203E-13,0.4075104,0.990239087,0.487638203,KCNAB2
0.000995365,0.005605048,0.128690104,0.063866632,0.701797228,0.827660742,0.801348371,CHD5
5.15475E-40,2.61625E-60,2.47956E-69,4.10112E-49,0.009763046,0.872341985,0.014636842,RPL22
0.885148654,0.455924689,0.867042206,0.134290462,0.674895466,0.955223758,0.257623744,RNF207
2.2511E-128,4.0066E-193,1.7267E-187,2.436E-111,1.75449E-08,0.974631763,2.11859E-12,ICMT
0.894544256,0.921387371,0.640098036,0.537344087,0.983506207,0.981538275,0.913512674,GPR153
1.8307E-148,7.7708E-197,5.9146E-209,1.0507E-168,2.31108E-05,0.894570356,0.000654975,ACOT7
0.003902017,0.232706565,0.001551627,3.09344E-06,0.148858892,0.564770708,0.116596328,HES2
0.102787168,0.001308096,0.004005534,0.072569505,0.216867569,0.98615756,0.390902589,ESPN
0.346380549,0.000112008,1.03826E-06,1.62629E-11,0.014796672,0.906126563,0.127185652,TNFRSF25
1.59702E-16,2.34257E-10,3.59675E-17,0.000101423,0.130616426,0.577855764,3.41185E-05,PLEKHG5
4.06244E-12,1.41799E-06,1.10932E-08,1.72091E-37,0.097950999,0.920840376,4.51627E-11,NOL9
0.005168492,2.83205E-06,1.47065E-09,2.83059E-09,0.147710733,0.83263157,0.952814161,ZBTB48
0.004316219,0.001729829,0.124255002,0.041094962,0.881866814,0.762924789,0.000679805,KLHL21
2.30419E-07,2.01917E-36,7.53857E-16,1.49057E-19,1.18493E-12,0.004541297,0.444777601,PHF13
0.089731477,0.034441484,0.553621235,0.035409583,0.803428052,0.767659541,0.010949386,THAP3
1.81022E-24,1.19397E-19,1.09126E-18,0.03139539,0.416015224,0.991890536,4.80413E-10,DNAJC11
0.408144702,0.239347781,0.792384772,0.508273996,0.835487105,0.908634961,0.763306123,CAMTA1
